,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
41396,2018-03-26,Albania,Norway,0.0,1.0,Friendly,Elbasan,Albania,False
41401,2018-03-26,Portugal,Netherlands,0.0,3.0,Friendly,Geneva,Switzerland,True
41406,2018-03-27,Australia,Colombia,0.0,0.0,Friendly,London,England,True
41409,2018-03-27,Belgium,Saudi Arabia,4.0,0.0,Friendly,Brussels,Belgium,False
41414,2018-03-27,England,Italy,1.0,1.0,Friendly,London,England,False
41417,2018-03-27,Greece,Egypt,1.0,0.0,Friendly,Zürich,Switzerland,True
41432,2018-03-27,Morocco,Uzbekistan,2.0,0.0,Friendly,Casablanca,Morocco,False
41439,2018-03-27,Russia,France,1.0,3.0,Friendly,Saint Petersburg,Russia,False
41443,2018-03-27,Spain,Argentina,6.0,1.0,Friendly,Madrid,Spain,False
41444,2018-03-27,Switzerland,Panama,6.0,0.0,Friendly,Lucerne,Switzerland,False
41450,2018-03-27,United States,Paraguay,1.0,0.0,Friendly,Cary,United States,False
41469,2018-05-25,Kuwait,Egypt,1.0,1.0,Friendly,Kuwait City,Kuwait,False
41477,2018-05-28,United States,Bolivia,3.0,0.0,Friendly,Chester,United States,False
41480,2018-05-28,Portugal,Tunisia,2.0,2.0,Friendly,Braga,Portugal,False
41482,2018-05-28,France,Republic of Ireland,2.0,0.0,Friendly,Saint-Denis,France,False
41489,2018-05-29,Argentina,Haiti,4.0,0.0,Friendly,Buenos Aires,Argentina,False
41503,2018-05-31,Ukraine,Morocco,0.0,0.0,Friendly,Geneva,Switzerland,True
41517,2018-06-01,France,Italy,3.0,1.0,Friendly,Nice,France,False
41522,2018-06-01,Colombia,Egypt,0.0,0.0,Friendly,Bergamo,Italy,True
41529,2018-06-02,England,Nigeria,2.0,1.0,Friendly,London,England,False
41533,2018-06-02,Republic of Ireland,United States,2.0,1.0,Friendly,Dublin,Republic of Ireland,False
41534,2018-06-02,Belgium,Portugal,0.0,0.0,Friendly,Brussels,Belgium,False
41537,2018-06-02,Iceland,Norway,2.0,3.0,Friendly,Reykjavík,Iceland,False
41552,2018-06-03,Spain,Switzerland,1.0,1.0,Friendly,Villarreal,Spain,False
41569,2018-06-04,Slovakia,Morocco,1.0,2.0,Friendly,Geneva,Switzerland,True
41588,2018-06-06,Norway,Panama,1.0,0.0,Friendly,Oslo,Norway,False
41590,2018-06-06,Belgium,Egypt,3.0,0.0,Friendly,Brussels,Belgium,False
41594,2018-06-07,England,Costa Rica,2.0,0.0,Friendly,Leeds,England,False
41596,2018-06-07,Portugal,Algeria,3.0,0.0,Friendly,Lisbon,Portugal,False
41610,2018-06-08,Switzerland,Japan,2.0,0.0,Friendly,Lugano,Switzerland,False
41621,2018-06-09,Estonia,Morocco,1.0,3.0,Friendly,Tallinn,Estonia,False
41624,2018-06-09,Tunisia,Spain,0.0,1.0,Friendly,Krasnodar,Russia,True
41625,2018-06-09,France,United States,1.0,1.0,Friendly,Lyon,France,False
41636,2018-06-11,Belgium,Costa Rica,4.0,1.0,Friendly,Brussels,Belgium,False
41640,2018-06-15,Egypt,Uruguay,0.0,1.0,FIFA World Cup,Ekaterinburg,Russia,True
41641,2018-06-15,Morocco,Iran,0.0,1.0,FIFA World Cup,Saint Petersburg,Russia,True
41642,2018-06-15,Portugal,Spain,3.0,3.0,FIFA World Cup,Sochi,Russia,True
41643,2018-06-16,France,Australia,2.0,1.0,FIFA World Cup,Kazan,Russia,True
41644,2018-06-16,Argentina,Iceland,1.0,1.0,FIFA World Cup,Moscow,Russia,True
41649,2018-06-17,Brazil,Switzerland,1.0,1.0,FIFA World Cup,Rostov-on-Don,Russia,True
41651,2018-06-18,Belgium,Panama,3.0,0.0,FIFA World Cup,Sochi,Russia,True
41652,2018-06-18,Tunisia,England,1.0,2.0,FIFA World Cup,Volgograd,Russia,True
41653,2018-06-19,Colombia,Japan,1.0,2.0,FIFA World Cup,Saransk,Russia,True
41655,2018-06-19,Russia,Egypt,3.0,1.0,FIFA World Cup,Saint Petersburg,Russia,False
41656,2018-06-20,Portugal,Morocco,1.0,0.0,FIFA World Cup,Moscow,Russia,True
41658,2018-06-20,Iran,Spain,0.0,1.0,FIFA World Cup,Kazan,Russia,True
41660,2018-06-21,France,Peru,1.0,0.0,FIFA World Cup,Ekaterinburg,Russia,True
41661,2018-06-21,Argentina,Croatia,0.0,3.0,FIFA World Cup,Nizhny Novgorod,Russia,True
41664,2018-06-22,Serbia,Switzerland,1.0,2.0,FIFA World Cup,Kaliningrad,Russia,True
41665,2018-06-23,Belgium,Tunisia,5.0,2.0,FIFA World Cup,Moscow,Russia,True
41668,2018-06-24,England,Panama,6.0,1.0,FIFA World Cup,Nizhny Novgorod,Russia,True
41670,2018-06-24,Poland,Colombia,0.0,3.0,FIFA World Cup,Kazan,Russia,True
41672,2018-06-25,Saudi Arabia,Egypt,2.0,1.0,FIFA World Cup,Volgograd,Russia,True
41673,2018-06-25,Spain,Morocco,2.0,2.0,FIFA World Cup,Kaliningrad,Russia,True
41674,2018-06-25,Iran,Portugal,1.0,1.0,FIFA World Cup,Saransk,Russia,True
41676,2018-06-26,Denmark,France,0.0,0.0,FIFA World Cup,Moscow,Russia,True
41677,2018-06-26,Nigeria,Argentina,1.0,2.0,FIFA World Cup,Saint Petersburg,Russia,True
41682,2018-06-27,Switzerland,Costa Rica,2.0,2.0,FIFA World Cup,Nizhny Novgorod,Russia,True
41684,2018-06-28,Senegal,Colombia,0.0,1.0,FIFA World Cup,Samara,Russia,True
41686,2018-06-28,England,Belgium,0.0,1.0,FIFA World Cup,Kaliningrad,Russia,True
41687,2018-06-30,France,Argentina,4.0,3.0,FIFA World Cup,Kazan,Russia,True
41688,2018-06-30,Uruguay,Portugal,2.0,1.0,FIFA World Cup,Sochi,Russia,True
41689,2018-07-01,Russia,Spain,1.0,1.0,FIFA World Cup,Moscow,Russia,False
41692,2018-07-02,Belgium,Japan,3.0,2.0,FIFA World Cup,Rostov-on-Don,Russia,True
41693,2018-07-03,Sweden,Switzerland,1.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
41694,2018-07-03,Colombia,England,1.0,1.0,FIFA World Cup,Moscow,Russia,True
